file_path,device,is_behavior,set_type,type_label,brand_label,device_label,sample_file,sample_base,seq_feature_path,raw_feature_path,behavior_type,idle_group
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00053_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00053.csv,netatmo-weather-station__2019-04-28_idle__00053,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00053_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00053_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00126_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00126.csv,netatmo-weather-station__2019-04-28_idle__00126,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00126_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00126_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00025_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00025.csv,netatmo-weather-station__2019-04-28_idle__00025,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00025_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00025_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00154_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00154.csv,netatmo-weather-station__2019-04-28_idle__00154,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00154_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00154_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00009_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00009.csv,netatmo-weather-station__2019-04-28_idle__00009,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00009_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00009_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00092_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00092.csv,netatmo-weather-station__2019-04-28_idle__00092,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00092_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00092_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00067_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00067.csv,netatmo-weather-station__2019-04-28_idle__00067,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00067_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00067_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00076_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00076.csv,netatmo-weather-station__2019-04-28_idle__00076,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00076_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00076_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00074_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00074.csv,netatmo-weather-station__2019-04-28_idle__00074,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00074_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00074_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00064_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00064.csv,netatmo-weather-station__2019-04-28_idle__00064,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00064_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00064_raw.npz,,2019-04-28_idle
